Blue 
106-160,  30-60,  20-45
Test 1 - 
132 45 33
132 46 31
134 47 31
132 43 26
136 47 30
136 48 30
126 43 26
129 44 28
128 44 28

Test 2 - 
134 48 36
134 48 37
136 51 38
129 42 26
135 47 30
136 50 32
124 44 28
126 42 26
124 43 26

Test 3 - 
130 41 29
127 39 26
132 45 30
130 39 24
133 43 27
137 49 32
124 41 24
126 42 26
125 43 27

Yellow
45-70,  150-200,  110-200
Test1 - 
49 161 146
50 159 153
50 157 137
56 166 131
58 168 133
56 160 122
54 163 129
52 160 127
50 156 120

Test 2-
59 172 157
59 169 163
59 168 147
61 174 141
60 172 139
59 166 128
62 170 138
57 166 135
52 158 124

Test 3-
59 168 155
60 165 160
60 164 144
62 169 134
61 167 135
61 163 124
61 166 132
57 162 131
54 158 123

Green
63-100,  125-170,  12-90

Test 1-
78 150 34
84 152 40
77 148 36
89 156 40
88 155 40
84 151 36
82 150 35
84 150 38
76 143 30

Test 2 -
85 154 57
91 157 59
84 154 57
93 157 50
85 152 41
84 152 39
81 145 42
78 141 40
76 139 37

Test 3 -
77 132 66
89 149 80
85 148 82
86 147 46
81 149 40
86 153 50
79 135 45
80 139 45
80 136 50

Red
15-60,  30-55,  135-200

Test 1-
24 36 177
34 45 183
26 39 173
29 40 174
24 37 173
33 43 170
22 34 165
28 40 172
24 35 165

Test 2-
29 38 175
37 47 183
29 38 171
31 40 173
25 37 170
34 41 167
26 36 163
30 40 163
28 38 157

Test 3-
27 37 173
37 46 179
32 41 168
35 43 168
31 39 164
35 42 163
36 41 151
32 40 158
28 35 154

White
140-180,  130-180, 120-180

Test 1-
168 162 157
166 161 163
167 158 150
166 158 145
164 156 144
166 154 139
162 154 141
159 151 139
164 153 139

Test 2-
166 161 156
164 158 162
161 154 147
167 159 146
160 153 142
161 151 137
164 157 143
156 148 136
153 144 131

Test 3-
167 164 161
166 164 170
166 162 158
164 157 144
161 154 142
163 153 138
156 149 136
150 142 131
148 140 128

Orange
0-40, 80-130, 140-200

Test 1-
26 116 187
27 122 193
27 114 182
30 107 177
22 100 176
31 101 169
33 101 167
31 100 168
37 94 155


Test 2-
24 115 188
25 121 194
26 112 181
27 104 177
21 99 175
33 99 165
31 101 169
28 99 168
37 89 148

Test 3-
28 115 186
23 119 193
22 112 184
31 105 175
23 97 173
27 97 169
34 99 164
29 97 165
32 91 153

